"Timestamp","1) If you are below the age of 18, do you have parental consent to participating in this survey? ","2) What's your current level of study? ","What part of New York do you reside in? ","Please state your gender.","Please choose the ethnicity that most appropriately describes you.","How often do you use technology for fun? ","Has your use of technology for fun increased or decreased due to COVID? ","How do you spend time on the internet for fun? ","Why do you use social media? ","Do you ever feel any, or more of the following: ","What do you turn to when you experience the issues stated in the previous question? ","Do you agree with any of the following negative effects of technology? ","Do you agree with any of the following positive effects of technology?","How long do you use technology for academic purposes every day?","How productive would you rate yourself?","Has your productivity increased or decreased due to COVID?","How do you use the internet for academic purposes?","How do your parents feel about the change in your use of technology for academic purposes from pre-Covid to present? ","How often do you use technology to check the news?","Where do you get your news from?","What fake news/inaccurate resources have you been exposed to on the internet during the pandemic?","What are a few online services or examples that you trust/use to obtain covid information from?"
"2021/08/02 11:33:17 PM AST","Yes","8th grade","Bronx","Female","White American;Hispanic or Latino","About 4-8 hours a day","About the same","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.)","To make new friends;To get the latest news on celebrities","I'm worried about getting COVID","Social Media;Workout/ exercise","Bullying/rumor spread;unrealistic views","connecting with friends/family;Keeps you entertained/upbe;getting support from others","3-9 hours","7","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments","Neutral","Once a week","Social Medias","There was an Instagram post that said how there was a fee to get the vaccination.","CBS"
"2021/08/02 11:34:49 PM AST","I am 18+","Undergraduate Student (3rd Year)","Brooklyn","Male","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To be updated on current events and world issues","I feel lonely;I am worried about my family/ friends/ overseas family;I am worried about school;I'm often sleepy/tired during the daytime","Consulting a trusted adult;Listening to music;Clubs/ Extracurricular Activites","harms relationships/ lack of in-person contact;peer pressure;causes mental health issues","Keeps you entertained/upbe;getting support from others;learning new things","10-12 hours","9","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Documentaries;Wikipedia;Virtual Libraries;Reading Research Articles","Positive","About every day","Newspapers (online or paper)","Someone told me how they put water in the vaccine","CDC"
"2021/08/02 11:36:13 PM AST","Yes","9th grade","Manhattan","Male","European","About 4-8 hours a day","Decreased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.)","To make new friends","I'm worried about getting COVID","Talking to my parents","Bullying/rumor spread","connecting with friends/family","3-9 hours","6","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles","Neutral","Once a week","School","Some ads on Facebook said how people who aren’t vaccinated can’t come to school next year","CNN"
"2021/08/02 11:37:39 PM AST","I am 18+","12th grade","Bronx","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","About the same","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To get the latest news on celebrities;To comment on other people's lives","I feel stressed;I am worried about school;I'm often sleepy/tired during the daytime","Consulting a trusted adult;Watching TV;Clubs/ Extracurricular Activites","harms relationships/ lack of in-person contact;causes mental health issues;Spread of fake news/ misinformation","easier to find news/info;self-expression;learning new things","1-2 hours","4","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos","They feel I use technology more than I should/ more than I did before","Every other day","Social Medias","I was told that the vaccine wouldn’t be given to teenagers until 2022","CDC and NBC are my most trusted online services."
"2021/08/02 11:38:52 PM AST","I am 18+","Undergraduate Student (3rd Year)","Brooklyn","Male","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 4-8 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To get the latest news on celebrities;To be updated on current events and world issues","I'm worried about getting COVID;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime","Talking to my parents;Listening to music;Watching TV","causes distractions/addictions;causes mental health issues","Meeting others with same interests;self-expression","10-12 hours","9","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;Documentaries;Virtual Libraries","Positive","About every day","School","People said that the election was rigged","I trust CNN and NBC"
"2021/09/07 12:06:10 PM AST","I am 18+","12th grade","Long Island","Non-Binary","American Indian or Alaska Native","About 1-3 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To get the latest news on celebrities","I don't feel any of these.;I feel lonely;I'm worried about getting COVID;I am worried I don't get enough movement","Talking to my parents;Listening to music","causes distractions/addictions;peer pressure","easier to find news/info;Keeps you entertained/upbe;self-expression","10-12 hours","7","Increase","Online Classes/ Attending tutoring sessions/ review sessions;Wikipedia;Virtual Libraries;Reading Research Articles","Positive","Every other day","Newspapers (online or paper)","The internet said that you don’t need your vaccination card but when I went to the movie theater they asked for it.","CNN"
"2021/09/07 12:09:11 PM AST","I am 18+","9th grade","Long Island","Non-Binary","American Indian or Alaska Native","About 1-3 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To make new friends;To get the latest news on celebrities;To comment on other people's lives","I'm worried about getting COVID;I am worried about my family/ friends/ overseas family;I am worried about school","Consulting a trusted adult;Guidance counselor;Listening to music","unrealistic views;peer pressure;causes mental health issues","easier to find news/info;Keeps you entertained/upbe;self-expression","10-12 hours","7","Increase","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos;Virtual Libraries","They feel I use technology more than I should/ more than I did before","Every other day","Newspapers (online or paper)","Some news sources said that the vaccine doesn’t work.","CNN, NBC"
"2021/09/07 12:11:21 PM AST","I am 18+","9th grade","Long Island","Prefer not to say","American Indian or Alaska Native","About 1-3 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family","I feel lonely;I'm worried about getting COVID;I am worried about my family/ friends/ overseas family","Texting My Friends;Talking to my parents;Listening to music","unrealistic views;causes distractions/addictions","Meeting others with same interests;getting support from others;learning new things","1-2 hours","1","Decrease","Online Classes/ Attending tutoring sessions/ review sessions","Neutral","Every other day","Newspapers (online or paper)","Some internet sources said that coronavirus was made up.","I trust CNN and NBC"
"2021/09/07 12:14:01 PM AST","I am 18+","Undergraduate Student (2nd Year)","Long Island","Non-Binary","American Indian or Alaska Native","I don't use technology outside of school.","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family","I feel stressed;I feel lonely;I'm worried about getting COVID","I don't experience any of the issues stated in the previous question;Social Media;Consulting a trusted adult","harms relationships/ lack of in-person contact;unrealistic views;peer pressure","Meeting others with same interests;Keeps you entertained/upbe;self-expression","1-2 hours","1","Decrease","Online Classes/ Attending tutoring sessions/ review sessions","Neutral","Every other day","Newspapers (online or paper)","The internet told me that people under 12 can get the vaccine","NBC"
"2021/09/07 12:32:23 PM AST","I am 18+","12th grade","Long Island","Non-Binary","American Indian or Alaska Native","About 4-8 hours a day","Decreased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To be updated on current events and world issues","I'm worried about getting COVID;I am worried about my family/ friends/ overseas family;I am worried about school","Texting My Friends;Talking to my parents;Listening to music","harms relationships/ lack of in-person contact;causes distractions/addictions;peer pressure","Meeting others with same interests;Keeps you entertained/upbe;getting support from others","3-9 hours","10","Increase","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos;Documentaries;Virtual Libraries;Virtual Contests/ competitions/ hackathons","Positive","Every other day","Newspapers (online or paper)","Sources say how the vaccine isn’t effective ","I trust CNN and CDC"
"2021/09/07 2:34:41 PM AST","Yes","12th grade","Staten Island","Male","White American","About 4-8 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To make new friends;To get the latest news on celebrities","I don't feel any of these.","I don't experience any of the issues stated in the previous question","harms relationships/ lack of in-person contact;peer pressure","self-expression","3-9 hours","8","Decrease","Youtube Videos;Documentaries;Virtual Libraries","Positive","Once a week","Social Medias","CBS","Presidential news reports"
